투자금액비중,보유,Ticker,설명,,yahoo,google,현재가격,적정가격,"25년 
적정 EPS","25년 
적정 PER",Fwd PER,적정 PER,목표값-최대,목표값-평균,목표값-중앙,목표값-분석가 의견합 ,구매가,투자금액,평가금액,수익,수익률,상승여력,비중,"
주간가격변화차트",,,,
,0,060370.ks,엘에스마린솔루션,060370,.ks,KOSDAQ:,30400,"25,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,RR,Richtech Robotics Inc.,RR,,NASDAQ:,2.4,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,466100.ks,클로봇,466100,.ks,KOSDAQ:,43200,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,130660.ks,한전산업개발보통주,130660,.ks,KRX:,13130,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,ARBE,Arbe Robotics Ltd.,ARBE,,NASDAQ:,0.91,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,348340.ks,뉴로메카,348340,.ks,KOSDAQ:,48800,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,211050.ks,인카금융서비스,211050,.ks,KOSDAQ:,9020,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,007570.ks,일양약품보통주,007570,.ks,KRX:,8210,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
,0,OPTT,"Ocean Power Technologies, Inc.",OPTT,,,0.29,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,$0.00,0,0.00,,,,,,,,
0.00%,0,0051A0.ks,KoAct브로드컴밸류체인액티브,0051A0,.ks,KRX:,23300,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,"16,045.00",$0.00,0,0.00,#DIV/0!,-100.00%,0.00%,,,,,
,0,214420.ks,토니모리보통주,214420,.ks,KRX:,5580,"15,984.00",666,24,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
